2026-01-09 12:38:43 | ERROR    | app.middleware.logging_middleware:dispatch:95 | {'correlation_id': '08659398-234e-4a9d-af90-1afe0b93db0a', 'user_id': None, 'method': 'POST', 'path': '/api/v1/ai/tasks/parse', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0', 'status_code': 200, 'duration_ms': 6228.98} | ← POST /api/v1/ai/tasks/parse → 200 (6228.98ms)
2026-01-09 12:38:43 | ERROR    | app.middleware.logging_middleware:dispatch:103 | {'correlation_id': '08659398-234e-4a9d-af90-1afe0b93db0a', 'user_id': None, 'method': 'POST', 'path': '/api/v1/ai/tasks/parse', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0', 'status_code': 200, 'duration_ms': 6228.98, 'duration_seconds': 6.228975534439087, 'threshold': 'very_slow'} | ⚠️  VERY SLOW REQUEST: POST /api/v1/ai/tasks/parse took 6.23s - investigate immediately!
2026-01-09 12:58:46 | ERROR    | app.middleware.logging_middleware:dispatch:95 | {'correlation_id': '5103cabb-ec4a-4875-8a64-d6e82a974ed8', 'user_id': None, 'method': 'POST', 'path': '/api/v1/ai/tasks/parse', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0', 'status_code': 200, 'duration_ms': 4392.64} | ← POST /api/v1/ai/tasks/parse → 200 (4392.64ms)
2026-01-09 12:58:46 | ERROR    | app.middleware.logging_middleware:dispatch:103 | {'correlation_id': '5103cabb-ec4a-4875-8a64-d6e82a974ed8', 'user_id': None, 'method': 'POST', 'path': '/api/v1/ai/tasks/parse', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0', 'status_code': 200, 'duration_ms': 4392.64, 'duration_seconds': 4.392643213272095, 'threshold': 'very_slow'} | ⚠️  VERY SLOW REQUEST: POST /api/v1/ai/tasks/parse took 4.39s - investigate immediately!
2026-01-09 12:59:38 | ERROR    | app.middleware.logging_middleware:dispatch:95 | {'correlation_id': '83b84e29-a766-4393-aa45-470f432efc16', 'user_id': None, 'method': 'POST', 'path': '/api/v1/ai/tasks/create-from-voice', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0', 'status_code': 201, 'duration_ms': 3591.06} | ← POST /api/v1/ai/tasks/create-from-voice → 201 (3591.06ms)
2026-01-09 12:59:38 | ERROR    | app.middleware.logging_middleware:dispatch:103 | {'correlation_id': '83b84e29-a766-4393-aa45-470f432efc16', 'user_id': None, 'method': 'POST', 'path': '/api/v1/ai/tasks/create-from-voice', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0', 'status_code': 201, 'duration_ms': 3591.06, 'duration_seconds': 3.59106183052063, 'threshold': 'very_slow'} | ⚠️  VERY SLOW REQUEST: POST /api/v1/ai/tasks/create-from-voice took 3.59s - investigate immediately!
2026-01-09 13:02:50 | ERROR    | app.middleware.logging_middleware:dispatch:95 | {'correlation_id': 'f6b2ffb1-d172-4718-828e-46ea1bb06e2d', 'user_id': None, 'method': 'POST', 'path': '/api/v1/ai/tasks/create-from-voice', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0', 'status_code': 201, 'duration_ms': 3051.76} | ← POST /api/v1/ai/tasks/create-from-voice → 201 (3051.76ms)
2026-01-09 13:02:50 | ERROR    | app.middleware.logging_middleware:dispatch:103 | {'correlation_id': 'f6b2ffb1-d172-4718-828e-46ea1bb06e2d', 'user_id': None, 'method': 'POST', 'path': '/api/v1/ai/tasks/create-from-voice', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0', 'status_code': 201, 'duration_ms': 3051.76, 'duration_seconds': 3.051762580871582, 'threshold': 'very_slow'} | ⚠️  VERY SLOW REQUEST: POST /api/v1/ai/tasks/create-from-voice took 3.05s - investigate immediately!
2026-01-09 13:03:37 | ERROR    | app.middleware.logging_middleware:dispatch:95 | {'correlation_id': 'c8419e17-095b-4a76-90c6-c294ccb36d71', 'user_id': None, 'method': 'POST', 'path': '/api/v1/ai/tasks/create-from-voice', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0', 'status_code': 201, 'duration_ms': 3330.3} | ← POST /api/v1/ai/tasks/create-from-voice → 201 (3330.3ms)
2026-01-09 13:03:37 | ERROR    | app.middleware.logging_middleware:dispatch:103 | {'correlation_id': 'c8419e17-095b-4a76-90c6-c294ccb36d71', 'user_id': None, 'method': 'POST', 'path': '/api/v1/ai/tasks/create-from-voice', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0', 'status_code': 201, 'duration_ms': 3330.3, 'duration_seconds': 3.330303430557251, 'threshold': 'very_slow'} | ⚠️  VERY SLOW REQUEST: POST /api/v1/ai/tasks/create-from-voice took 3.33s - investigate immediately!
2026-01-09 13:04:21 | ERROR    | app.middleware.logging_middleware:dispatch:95 | {'correlation_id': '86189857-cfe4-456b-96c9-3baa93ccb3da', 'user_id': None, 'method': 'POST', 'path': '/api/v1/ai/tasks/create-from-voice', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0', 'status_code': 201, 'duration_ms': 3264.84} | ← POST /api/v1/ai/tasks/create-from-voice → 201 (3264.84ms)
